epoch,step,train_loss
0,9,1.1600897312164307
0,19,1.1394110918045044
0,29,1.109420895576477
0,39,1.0914536714553833
0,49,1.0702985525131226
0,59,1.058233380317688
0,69,1.0648219585418701
0,79,1.0197783708572388
0,89,1.0086413621902466
0,99,0.9505234956741333
0,109,0.8869816660881042
0,119,0.7792718410491943
0,129,0.7129198312759399
0,139,0.6848883628845215
0,149,0.6597038507461548
0,159,0.6783864498138428
0,169,0.5997642278671265
0,179,0.5841224789619446
0,189,0.5573679804801941
0,199,0.5693073868751526
0,209,0.5728432536125183
0,219,0.5432581305503845
